id	data	synced_at	doi	title	authors	abstract	article_type	specialties	date	is_free	url	feed
10.1056/NEJMoa2506905	{"id":"10.1056/NEJMoa2506905","doi":"10.1056/NEJMoa2506905","title":"Cefazolin for Methicillin-Susceptible Staphylococcus aureus Bacteremia","authors":"","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMoa2506905?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2329-2339","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMoa2506905	Cefazolin for Methicillin-Susceptible Staphylococcus aureus Bacteremia					2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMoa2506905?af=R&rss=currentIssue	etoc
10.1056/NEJMcibr2601002	{"id":"10.1056/NEJMcibr2601002","doi":"10.1056/NEJMcibr2601002","title":"Stemness as the Engine of Checkpoint Durability","authors":"Richard S. Hotchkiss and John F. DiPersio","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMcibr2601002?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2374-2377","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMcibr2601002	Stemness as the Engine of Checkpoint Durability	Richard S. Hotchkiss and John F. DiPersio				2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMcibr2601002?af=R&rss=currentIssue	etoc
10.1056/NEJMra2416814	{"id":"10.1056/NEJMra2416814","doi":"10.1056/NEJMra2416814","title":"Management of Differentiated Thyroid Cancer","authors":"Laszlo Hegedüs Lori J. Wirth and R. Michael Tuttle","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMra2416814?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2340-2355","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMra2416814	Management of Differentiated Thyroid Cancer	Laszlo Hegedüs Lori J. Wirth and R. Michael Tuttle				2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMra2416814?af=R&rss=currentIssue	etoc
10.1056/NEJMc2605256	{"id":"10.1056/NEJMc2605256","doi":"10.1056/NEJMc2605256","title":"Zorevunersen in Children and Adolescents with Dravet Syndrome","authors":"","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMc2605256?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2383-2384","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMc2605256	Zorevunersen in Children and Adolescents with Dravet Syndrome					2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMc2605256?af=R&rss=currentIssue	etoc
10.1056/NEJMc2605751	{"id":"10.1056/NEJMc2605751","doi":"10.1056/NEJMc2605751","title":"Perioperative Enfortumab Vedotin and Pembrolizumab in Bladder Cancer","authors":"","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMc2605751?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2382-2383","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMc2605751	Perioperative Enfortumab Vedotin and Pembrolizumab in Bladder Cancer					2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMc2605751?af=R&rss=currentIssue	etoc
10.1056/NEJMx260016	{"id":"10.1056/NEJMx260016","doi":"10.1056/NEJMx260016","title":"Mavacamten in Nonobstructive Hypertrophic Cardiomyopathy","authors":"","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMx260016?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2384-2384","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMx260016	Mavacamten in Nonobstructive Hypertrophic Cardiomyopathy					2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMx260016?af=R&rss=currentIssue	etoc
10.1056/NEJMe2605735	{"id":"10.1056/NEJMe2605735","doi":"10.1056/NEJMe2605735","title":"Prehospital Whole Blood for Traumatic Hemorrhage — Consistent Evidence from Two Randomized Trials","authors":"Susan E. Rowell and Selwyn O. Rogers","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMe2605735?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2372-2373","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMe2605735	Prehospital Whole Blood for Traumatic Hemorrhage — Consistent Evidence from Two Randomized Trials	Susan E. Rowell and Selwyn O. Rogers				2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMe2605735?af=R&rss=currentIssue	etoc
10.1056/NEJMicm2600078	{"id":"10.1056/NEJMicm2600078","doi":"10.1056/NEJMicm2600078","title":"Chromoblastomycosis","authors":"Eva R. Parker and Lili Tao","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMicm2600078?af=R\u0026rss=currentIssue","volume":"394","issue":"23","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMicm2600078	Chromoblastomycosis	Eva R. Parker and Lili Tao				2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMicm2600078?af=R&rss=currentIssue	etoc
10.1056/NEJMcpc2517867	{"id":"10.1056/NEJMcpc2517867","doi":"10.1056/NEJMcpc2517867","title":"Case 17-2026: A 74-Year-Old Man with Pancytopenia","authors":"Richard C. Cabot Eric S. Rosenberg David M. Dudzinski Meridale V. Baggett Daniel Restrepo Dennis C. Sgroi Jo-Anne O. Shepard and Emily K. McDonaldWilliam C. Aird Van-Khue Ton Sadia Sultana Sharl S. Azar Camille N. Kotton and Lisa D. Yuen","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMcpc2517867?af=R\u0026rss=currentIssue","volume":"394","issue":"23","pages":"2357-2368","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMcpc2517867	Case 17-2026: A 74-Year-Old Man with Pancytopenia	Richard C. Cabot Eric S. Rosenberg David M. Dudzinski Meridale V. Baggett Daniel Restrepo Dennis C. Sgroi Jo-Anne O. Shepard and Emily K. McDonaldWilliam C. Aird Van-Khue Ton Sadia Sultana Sharl S. Azar Camille N. Kotton and Lisa D. Yuen				2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMcpc2517867?af=R&rss=currentIssue	etoc
10.1056/NEJMp2601981	{"id":"10.1056/NEJMp2601981","doi":"10.1056/NEJMp2601981","title":"Is Change Possible?","authors":"","abstract":"","article_type":"","specialties":"","date":"2026-06-17T09:00:03Z","is_free":false,"url":"https://www.nejm.org/doi/full/10.1056/NEJMp2601981?af=R\u0026rss=currentIssue","volume":"394","issue":"23","cover_date":"2026-06-18T07:00:00Z","feed":"etoc"}	2026-06-21 08:34:51 +0000 UTC	10.1056/NEJMp2601981	Is Change Possible?					2026-06-17T09:00:03Z	0	https://www.nejm.org/doi/full/10.1056/NEJMp2601981?af=R&rss=currentIssue	etoc
