Rank;Title;Year;DOI;CitedBy;Venue;Relevance
1;An obesity-associated gut microbiome with increased capacity for energy harvest;2006;10.1038/nature05414;12425;Nature;100.0
2;Structure, function and diversity of the healthy human microbiome;2012;10.1038/nature11234;11935;Nature;100.0
3;A human gut microbial gene catalogue established by metagenomic sequencing;2010;10.1038/nature08821;11654;Nature;100.0
4;Diet rapidly and reproducibly alters the human gut microbiome;2013;10.1038/nature12820;10180;Nature;100.0
5;A core gut microbiome in obese and lean twins;2008;10.1038/nature07540;7891;Nature;100.0
6;Human gut microbiome viewed across age and geography;2012;10.1038/nature11053;7886;Nature;100.0
7;Enterotypes of the human gut microbiome;2011;10.1038/nature09944;7632;Nature;100.0
8;Linking Long-Term Dietary Patterns with Gut Microbial Enterotypes;2011;10.1126/science.1208344;6572;Science;100.0
9;Gut microbiome influences efficacy of PD-1–based immunotherapy against epithelial tumors;2017;10.1126/science.aan3706;5442;Science;100.0
10;Host-Bacterial Mutualism in the Human Intestine;2005;10.1126/science.1104816;5280;Science;100.0
11;The Microbiota-Gut-Brain Axis;2019;10.1152/physrev.00018.2018;4797;Physiological Reviews;100.0
12;Richness of human gut microbiome correlates with metabolic markers;2013;10.1038/nature12506;4753;Nature;100.0
13;Delivery mode shapes the acquisition and structure of the initial microbiota across multiple body habitats in newborns;2010;10.1073/pnas.1002601107;4706;Proceedings of the National Academy of Sciences;100.0
