"doi";"title";"date";"authors";"article_type";"specialties";"is_free";"abstract"
"10.1056/NEJMoa2506905";"Cefazolin for Methicillin-Susceptible Staphylococcus aureus Bacteremia";"2026-06-18";"The Staphylococcus aureus Network Adaptive Platform (SNAP) Trial Group";"Original Article";"Infectious Disease";"False";"Cefazolin for MSSA Bacteremia
In this trial, cefazolin was noninferior to flucloxacillin or cloxacillin with respect to 90-day mortality in patients with methicillin-susceptible Staphylococcus aureus bacteremia and had fewer nephrotoxic effects."
"10.1056/NEJMcibr2601002";"Stemness as the Engine of Checkpoint Durability";"2026-06-18";"John F. DiPersio";"Clinical Implications of Basic Research";"Allergy/Immunology|Hematology/Oncology|Genetics";"False";"Checkpoint Inhibition with Preservation of Progenitor T Cells
The clinical benefits of checkpoint inhibitors in the treatment of cancer often wane. A preclinical study points to a potential strategy for a more durable effect."
"10.1056/NEJMra2416814";"Management of Differentiated Thyroid Cancer";"2026-06-18";"R. Michael Tuttle";"Review Article";"Hematology/Oncology|Endocrinology|Clinical Medicine|Pediatrics";"False";"Management of Differentiated Thyroid Cancer
This review of the evolving management of differentiated thyroid cancer highlights overdiagnosis of low-risk disease, dynamic risk stratification, active surveillance or ablation, targeted therapies, and active patient involvement."
"10.1056/NEJMc2605256";"Zorevunersen in Children and Adolescents with Dravet Syndrome";"2026-06-18";"";"Correspondence";"";"False";"To the Editor: The studies by Laux et al. (March 5 issue)1 of zorevunersen mark an
advance in targeting SCN1A (sodium channel type 1 alpha subunit gene) haploinsufficiency
in Dravet syndrome. Altho..."
"10.1056/NEJMc2605751";"Perioperative Enfortumab Vedotin and Pembrolizumab in Bladder Cancer";"2026-06-18";"";"Correspondence";"";"False";"To the Editor: Vulsteke et al. (April 2 issue)1 report a substantial 2-year event-free
survival with perioperative enfortumab vedotin and pembrolizumab in cisplatin-ineligible
patients with muscle-..."
"10.1056/NEJMx260016";"Mavacamten in Nonobstructive Hypertrophic Cardiomyopathy";"2026-06-18";"";"Correction";"";"False";"Mavacamten in Nonobstructive Hypertrophic Cardiomyopathy (N Engl J Med 2026;394:616-618).
In the signature below the letter (page 617), Zhihao LeiΓÇÖs academic degree should
have been B.Sc., rather t..."
"10.1056/NEJMe2605735";"Prehospital Whole Blood for Traumatic Hemorrhage ΓÇö Consistent Evidence from Two Randomized Trials";"2026-06-18";"Selwyn O. Rogers, Jr.";"Editorial";"Hematology/Oncology|Pulmonary/Critical Care|Clinical Medicine|Emergency Medicine|Surgery";"False";"Hemorrhagic shock remains the leading cause of preventable death after injury.1 Over
the past two decades, early administration of blood products has transformed care
for patients with bleeding. Th..."
"10.1056/NEJMicm2600078";"Chromoblastomycosis";"2026-06-18";"Lili Tao";"Images in Clinical Medicine";"Dermatology|Clinical Medicine|Infectious Disease";"False";"Chromoblastomycosis
A 38-year-old pregnant former agricultural worker was referred to the dermatology clinic for evaluation of a long-standing, itchy lesion on her abdomen. Histopathological analysis showed thick-walled, brown, septate spores."
"10.1056/NEJMcpc2517867";"Case 17-2026: A 74-Year-Old Man with Pancytopenia";"2026-06-18";"Lisa D. Yuen";"Case Records of the Massachusetts General Hospital";"Hematology/Oncology|Cardiology|Clinical Medicine|Surgery|Infectious Disease";"False";"A Man with Pancytopenia
A 74-year-old man with a recent orthotopic heart transplantation was admitted to the hospital because of persistent pancytopenia that resulted in serial transfusions of packed red cells. A diagnosis was made."
"10.1056/NEJMp2601981";"Is Change Possible?";"2026-06-18";"";"Perspective";"Clinical Medicine|Diversity, Equity, and Inclusion|Nephrology|Medical Practice, Training, and Education|Public Health";"False";"Is Change Possible? ΓÇö ITT Episode 2.7
The use of race in medicine is harming patients. What is being done to move away from these practices and to change a culture of medicine based on the false premise that race is biological?"
"10.1056/NEJMe2608017";"The OMB and the Politicization of Science";"2026-06-15";"The Editors";"Editorial";"";"False";"OMB and the Politicization of Science
The Editors highlight three aspects of OMBΓÇÖs recently proposed rule changes as particularly striking: that decisions on research funding would be made by political appointees, that funding could be cut off midway through a grant period, and that foreign interactions would be severely limited."
"10.1056/NEJMp2604841";"Products That Pose Health Risks ΓÇö Can Litigation Protect Us When Government Fails?";"2026-06-17";"Jerry Avorn";"Perspective";"Medical Ethics|Public Health|Health Policy";"False";"Products That Pose Health Risks
Recent lawsuits against social media companies, like past litigation against drug and tobacco manufacturers, show that when other branches of government fail to protect public health, the courts can help."
"10.1056/NEJMp2607429";"The Social Contract of Bundibugyo Ebola Isolation";"2026-06-17";"Laurent B├⌐lec";"Perspective";"Medical Ethics|Emergency Medicine|Public Health|Infectious Disease|Health Policy";"False";"The Social Contract of Bundibugyo Ebola Isolation
The lack of vaccines and disease-specific therapeutics for Bundibugyo Ebola has dramatically affected the communityΓÇÖs perception of Ebola treatment centers. In this context, trust becomes critical."
"10.1056/NEJMicm2600597";"Unheralded Syncope from Ventricular Arrhythmia";"2026-06-20";"Alec Bijan Rezigh";"Images in Clinical Medicine";"Cardiology|Clinical Medicine|Emergency Medicine";"False";"Unheralded Syncope from Ventricular Arrhythmia
A 47-year-old man with heart failure with a reduced ejection fraction and an ICD for the primary prevention of sudden cardiac death presented with an unheralded syncopal event, which had been captured by video surveillance at work."
"10.1056/NEJMp2515486";"The Before and The After";"2026-06-20";"Kathryn Taylor";"Perspective";"Medical Ethics|Clinical Medicine|Medical Practice, Training, and Education|Public Health|Health Policy";"False";"The Before and The After
When patients who have become homeless show a physician photos of themselves in better times, they are, in part, asking to be treated fairly, like they are people who might still turn their lives around."
"10.1056/NEJMp2601256";"Improving Global Air-Quality Indices ΓÇö The WHOΓÇÖs New Roadmap";"2026-06-20";"Sanjay Rajagopalan";"Perspective";"Allergy/Immunology|Cardiology|Pulmonary/Critical Care|Emergency Medicine|Climate Change|Obstetrics/Gynecology|Public Health|Infectious Disease|Pediatrics";"False";"Improving Global Air-Quality Indices
Many countries rely on air-quality indices to inform the public and help protect people during short-term increases in air pollution. Their use has important societal and economic implications."
